Sample	Gene	TPM
v1_nomultiseg_1437sTS_Human_Heart_11w_Male_nomultiseg_bam	ADAR	135.957063285425
v1_nomultiseg_1439sTS_Human_Kidney_11w_Male_nomultiseg_bam	ADAR	184.221308022092
v1_nomultiseg_1443sTSm_Human_Heart_CS23_Male_nomultiseg_bam	ADAR	141.372480912862
v1_nomultiseg_1988sTS_Human_Testis_10w_Male_nomultiseg_bam	ADAR	84.4826580124123
v1_nomultiseg_1990sTS_Human_Testis_CS22_Male_nomultiseg_bam	ADAR	111.091741664174
v1_nomultiseg_1991sTS_Human_Testis_CS23_Male_nomultiseg_bam	ADAR	86.6553270108855
v1_nomultiseg_2014sTS_Human_Liver_CS21_Male_nomultiseg_bam	ADAR	76.5264717192796
v1_nomultiseg_2015sTSb_Human_Testis_CS21_Male_nomultiseg_bam	ADAR	108.754969004924
v1_nomultiseg_2016sTSm_Human_Liver_CS22_Male_nomultiseg_bam	ADAR	75.5530818396419
v1_nomultiseg_2017sTSm_Human_Liver_CS22_Female_nomultiseg_bam	ADAR	89.0002751692078
v1_nomultiseg_2018sTSm_Human_Ovary_CS22_Female_nomultiseg_bam	ADAR	99.1928845317989
v1_nomultiseg_2019sTSm_Human_Liver_8w_Male_nomultiseg_bam	ADAR	80.8931320752714
v1_nomultiseg_2020sTSm_Human_Testis_8w_Male_nomultiseg_bam	ADAR	76.62003362181
v1_nomultiseg_2022sTSb_Human_Liver_9w_Male_nomultiseg_bam	ADAR	76.1565609859564
v1_nomultiseg_2024sTSb_Human_Heart_10w_Male_nomultiseg_bam	ADAR	100.736979605539
v1_nomultiseg_2025sTSb_Human_Liver_10w_Male_nomultiseg_bam	ADAR	66.8582107741901
v1_nomultiseg_2026sTSm_Human_Forebrain_CS21_Male_nomultiseg_bam	ADAR	169.20133455366
v1_nomultiseg_2027sTS_Human_Heart_CS21_Male_nomultiseg_bam	ADAR	134.747156855954
v1_nomultiseg_2029sTSb_Human_Hindbrain_CS21_Male_nomultiseg_bam	ADAR	161.10346772423
v1_nomultiseg_2030sTSb_Human_Heart_CS22_Male_nomultiseg_bam	ADAR	108.609832181931
v1_nomultiseg_2031sTS_Human_Hindbrain_CS22_Male_nomultiseg_bam	ADAR	170.993334210844
v1_nomultiseg_2032sTSm_Human_Heart_CS22_Female_nomultiseg_bam	ADAR	117.223287071369
v1_nomultiseg_2033sTS_Human_Hindbrain_CS22_Female_nomultiseg_bam	ADAR	194.961659418581
v1_nomultiseg_2034sTS_Human_Forebrain_CS22_Female_nomultiseg_bam	ADAR	190.730052930211
v1_nomultiseg_2035sTSm_Human_Forebrain_8w_Male_nomultiseg_bam	ADAR	192.789104887769
v1_nomultiseg_2036sTSm_Human_Hindbrain_8w_Male_nomultiseg_bam	ADAR	187.106636036558
v1_nomultiseg_2037sTSb_Human_Heart_8w_Male_nomultiseg_bam	ADAR	99.7688212266842
v1_nomultiseg_2039sTSm_Human_Heart_9w_Male_nomultiseg_bam	ADAR	98.5992506497984
v1_nomultiseg_2040sTS_Human_Hindbrain_9w_Male_nomultiseg_bam	ADAR	169.499893362262
v1_nomultiseg_2041sTSb_Human_Brain_9w_Male_nomultiseg_bam	ADAR	138.504393557804
v1_nomultiseg_2044sTS_Human_Heart_11w_Male_nomultiseg_bam	ADAR	124.869039327552
v1_nomultiseg_2046sTSb_Human_Liver_11w_Male_nomultiseg_bam	ADAR	68.6184678393442
v1_nomultiseg_2047sTS_Human_Forebrain_11w_Male_nomultiseg_bam	ADAR	146.75467419567
v1_nomultiseg_2048sTSm_Human_Hindbrain_11w_Male_nomultiseg_bam	ADAR	194.483353907701
v1_nomultiseg_2050sTS_Human_Forebrain_9w_Female_nomultiseg_bam	ADAR	112.259208312046
v1_nomultiseg_2051sTSm_Human_Heart_9w_Female_nomultiseg_bam	ADAR	90.7716000107781
v1_nomultiseg_2052sTSm_Human_Ovary_9w_Female_nomultiseg_bam	ADAR	99.0219354144068
v1_nomultiseg_2053sTS_Human_Liver_9w_Female_nomultiseg_bam	ADAR	60.7654491360102
v1_nomultiseg_2054sTS_Human_Hindbrain_9w_Female_nomultiseg_bam	ADAR	204.135541287191
v1_nomultiseg_2068sTS_Human_Brain_9w_Male_nomultiseg_bam	ADAR	153.219784014358
v1_nomultiseg_2071sTS_Human_Heart_9w_Male_nomultiseg_bam	ADAR	114.389754326548
v1_nomultiseg_2072sTSm_Human_Liver_9w_Male_nomultiseg_bam	ADAR	82.0743375376117
v1_nomultiseg_2074sTS_Human_Testis_9w_Male_nomultiseg_bam	ADAR	100.455131828901
v1_nomultiseg_2076sTS_Human_Liver_CS18_Male_nomultiseg_bam	ADAR	71.5688101782541
v1_nomultiseg_2080sTS_Human_Brain_CS23_Male_nomultiseg_bam	ADAR	174.850068476377
v1_nomultiseg_2081sTS_Human_Heart_CS23_Female_nomultiseg_bam	ADAR	90.4760591422588
v1_nomultiseg_2082sTSb_Human_Hindbrain_CS23_Female_nomultiseg_bam	ADAR	189.620416917363
v1_nomultiseg_2083sTSm_Human_Ovary_CS23_Female_nomultiseg_bam	ADAR	109.936944131711
v1_nomultiseg_2085sTSm_Human_Liver_CS23_Female_nomultiseg_bam	ADAR	68.7523203449634
v1_nomultiseg_2086sTSm_Human_Brain_CS23_Female_nomultiseg_bam	ADAR	168.364734272581
v1_nomultiseg_2088sTS_Human_Heart_CS18_Male_nomultiseg_bam	ADAR	126.762721988401
v1_nomultiseg_2089sTS_Human_Hindbrain_CS18_Male_nomultiseg_bam	ADAR	199.777450361012
v1_nomultiseg_2090sTS_Human_Testis_CS18_Male_nomultiseg_bam	ADAR	169.889491116204
v1_nomultiseg_2092sTS_Human_Heart_10w_Female_nomultiseg_bam	ADAR	91.8276618910662
v1_nomultiseg_2094sTS_Human_Liver_10w_Female_nomultiseg_bam	ADAR	70.5621242900608
v1_nomultiseg_2095sTS_Human_Ovary_10w_Female_nomultiseg_bam	ADAR	97.4000739967784
v1_nomultiseg_2096sTS_Human_Cerebellum_11w_Male_nomultiseg_bam	ADAR	149.636914880271
v1_nomultiseg_2110sTS_Human_Testis_11w_Male_nomultiseg_bam	ADAR	90.0855803637316
v1_nomultiseg_2111sTS_Human_Forebrain_11w_Male_nomultiseg_bam	ADAR	152.869255480292
v1_nomultiseg_2112sTS_Human_Liver_11w_Male_nomultiseg_bam	ADAR	68.284398636704
v1_nomultiseg_2113sTS_Human_Heart_11w_Male_nomultiseg_bam	ADAR	104.982443025319
v1_nomultiseg_3571sTS_Human_Forebrain_CS20_Female_nomultiseg_bam	ADAR	210.47309479271
v1_nomultiseg_3572sTS_Human_Hindbrain_CS20_Female_nomultiseg_bam	ADAR	213.877103652686
v1_nomultiseg_3573sTS_Human_Heart_CS20_Female_nomultiseg_bam	ADAR	173.421384097723
