StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,2112sTS.Human.Liver.11w.Male,0.046856135,1.29047294,0.096130968,0.129142104,0.045514262,0.195213304
StrandedData,5724sTS.Human.Hindbrain.13w.Male,0.037287874,2.453786494,0.068920036,0.092627013,0.036324785,0.17042549
StrandedData,2054sTS.Human.Hindbrain.9w.Female,0.038777494,2.306799711,0.081767242,0.068005396,0.037596127,0.173880026
StrandedData,5660sTS.Human.Heart.18w.Male,0.030938301,1.047109308,0.06045719,0.066918422,0.023972813,0.133957811
StrandedData,5779sTS.Human.Kidney.19w.Male,0.038360275,3.83449232,0.059477708,0.074668728,0.039686923,0.156169747
StrandedData,3637sTS.Human.Hindbrain.CS21.Male,0.040932901,1.408129723,0.092709994,0.098357554,0.034935561,0.190964266
StrandedData,5548sTS.Human.Liver.15dpb.Male,0.045676024,3.042328795,0.087817577,0.076779066,0.04429165,0.199618563
StrandedData,5655sTS.Human.Kidney.13w.Male,0.037855994,1.889572399,0.087114288,0.076076368,0.034583754,0.17494114
StrandedData,5708sTS.Human.Hindbrain.12w.Female,0.049796979,2.555138329,0.091635774,0.096378077,0.047445835,0.211770289
StrandedData,5574sTS.Human.Brain.39ypb.Male,0.056614128,3.935895016,0.082995862,0.089542994,0.058470841,0.240547749
StrandedData,5742sTS.Human.Hindbrain.6w.Female,0.032452937,1.383851786,0.055034957,0.090449428,0.027586658,0.133271681
StrandedData,5938sTS.Human.Heart.13w.Male,0.052144497,1.141728154,0.806748435,0.116543474,0.039579619,0.626455815
StrandedData,6046sTS.Human.Cerebellum.8ypb.Female,0.042408703,3.963343741,0.05846163,0.111888658,0.039924946,0.158781347
StrandedData,2090sTS.Human.Testis.CS18.Male,0.04191645,1.783640246,0.097206734,0.075171851,0.042227296,0.189161695
StrandedData,5547sTS.Human.Cerebellum.39ypb.Male,0.06500282,4.799349488,0.093842541,0.107477733,0.06851274,0.257922538
StrandedData,6102sTS.Human.Testis.6mpb.Male,0.058808199,3.67424018,0.175803111,0.109301407,0.056216719,0.306106195
StrandedData,1990sTS.Human.Testis.CS22.Male,0.037458123,1.6382103,0.072730486,0.067179341,0.034180086,0.17320444
StrandedData,5713sTS.Human.Kidney.13w.Male,0.043508786,2.71835176,0.078080275,0.097410219,0.040497891,0.189599152
StrandedData,2074sTS.Human.Testis.9w.Male,0.05210575,1.746293915,0.111269912,0.109879285,0.05289075,0.23263769
StrandedData,5519sTS.Human.Cerebellum.15dpb.Female,0.045388392,2.888034219,0.077705055,0.098374032,0.044584974,0.189237942
StrandedData,5946sTS.Human.Testis.16w.Male,0.03884975,2.087593828,0.143652067,0.072760402,0.03290832,0.23258567
StrandedData,2052sTSm.Human.Ovary.9w.Female,0.046556257,2.014096192,0.070318658,0.075014976,0.039469249,0.171854018
StrandedData,5768sTS.Human.Brain.19w.Male,0.02905988,1.609109578,0.053501615,0.06865948,0.02833136,0.130518866
StrandedData,2036sTSm.Human.Hindbrain.8w.Male,0.04107719,3.315703199,0.082047998,0.070391624,0.041569302,0.188799266
StrandedData,5780sTS.Human.Heart.19w.Male,0.038057011,1.54882178,0.102034741,0.082759817,0.033659338,0.190022246
StrandedData,2071sTS.Human.Heart.9w.Male,0.046517838,1.559621714,0.111909199,0.088882025,0.047709666,0.222193195
StrandedData,5623sTS.Human.Ovary.4w.Female,0.047916875,1.727373165,0.117234637,0.097530285,0.044076988,0.225340139
StrandedData,5954sTS.Human.Liver.13w.Female,0.029969573,0.990960426,0.055911665,0.068393385,0.027305589,0.155285285
StrandedData,5624sTS.Human.Forebrain.4w.Male,0.03976321,1.496120228,0.076816319,0.081565087,0.035075707,0.162389627
StrandedData,5649sTS.Human.Kidney.5w.Male,0.062473519,2.123771332,0.095776089,0.110348583,0.059262231,0.183542615
StrandedData,2086sTSm.Human.Brain.CS23.Female,0.050966159,1.523642162,0.080773979,0.07937299,0.03918694,0.174009526
StrandedData,5524sTS.Human.Brain.58ypb.Male,0.04844857,3.429185163,0.076497987,0.103718222,0.048136798,0.190058616
StrandedData,5533sTS.Human.Brain.39ypb.Male,0.053122674,3.474440866,0.095732573,0.115431951,0.05510117,0.216758134
StrandedData,5839sTS.Human.Heart.2ypb.Male,0.047530841,1.598735536,0.499659104,0.104654751,0.028791481,0.458636821
StrandedData,3574sTS.Human.Liver.CS20.Female,0.037364929,1.280639795,0.112869953,0.062688356,0.032241607,0.188198895
StrandedData,5670sTS.Human.Hindbrain.13w.Male,0.042454298,3.547912169,0.073118201,0.076395541,0.041631811,0.181663242
StrandedData,5680sTS.Human.Kidney.9w.Male,0.034562285,1.78761503,0.088494193,0.094863746,0.035541123,0.229582541
StrandedData,2095sTS.Human.Ovary.10w.Female,0.053598514,2.683394218,0.108652645,0.094990414,0.057173848,0.219772245
StrandedData,5778sTS.Human.Testis.19w.Male,0.03991109,4.327163172,0.063361613,0.071072912,0.041940887,0.168892239
StrandedData,3641sTS.Human.Liver.CS19.Male,0.037537987,1.528002683,0.090376495,0.088671388,0.033885292,0.184453687
StrandedData,5677sTS.Human.Ovary.10w.Female,0.040835725,3.023564025,0.070352377,0.082168669,0.038564672,0.176179866
StrandedData,5638sTS.Human.Ovary.5w.Female,0.037595434,2.361154451,0.118534387,0.091028245,0.032138455,0.18609557
StrandedData,5625sTS.Human.Hindbrain.4w.Male,0.056467623,1.571990788,0.094229056,0.099240022,0.051457308,0.197812683
StrandedData,5949sTS.Human.Ovary.18w.Female,0.039597274,1.784757501,0.079583616,0.080782586,0.035290876,0.173813054
StrandedData,5556sTS.Human.Liver.2ypb.Female,0.075332567,3.58765574,0.102452155,0.13768345,0.079688501,0.243058828
StrandedData,2092sTS.Human.Heart.10w.Female,0.037617798,1.136595316,0.087334041,0.09715188,0.030636992,0.184454073
StrandedData,5716sTS.Human.Testis.13w.Male,0.040664905,3.124928733,0.075717686,0.086989732,0.039527441,0.184421267
StrandedData,5678sTS.Human.Liver.10w.Female,0.035567514,2.497323204,0.073608268,0.074833125,0.03281916,0.172159141
StrandedData,5555sTS.Human.Cerebellum.221dpb.Male,0.053874757,3.461823254,0.077500787,0.11692461,0.055782803,0.21136938
StrandedData,5528sTS.Human.Liver.221dpb.Male,0.049617662,3.255394462,0.085490481,0.095623871,0.048507133,0.195879538
StrandedData,5520sTS.Human.Cerebellum.29ypb.Male,0.058610766,5.11237506,0.08014344,0.1003123,0.066622074,0.245929528
StrandedData,5521sTS.Human.Brain.271dpb.Male,0.045868691,2.977115795,0.080403265,0.097580261,0.042975793,0.184067112
StrandedData,5743sTS.Human.Hindbrain.10w.Female,0.035943003,2.58976366,0.055670746,0.092756652,0.03447725,0.146804086
StrandedData,5909sTS.Human.Heart.6mpb.Female,0.066284432,1.888141872,1.051103739,0.175208325,0.055251473,1.037713251
StrandedData,2096sTS.Human.Cerebellum.11w.Male,0.048058201,2.3587071,0.102337617,0.088408398,0.050121302,0.210671601
StrandedData,5568sTS.Human.Cerebellum.270dpb.Male,0.048761476,3.409368477,0.069780779,0.098563309,0.050559728,0.198099677
StrandedData,2030sTSb.Human.Heart.CS22.Male,0.035290418,1.322056312,0.0618808,0.057451306,0.027600336,0.146753629
StrandedData,2068sTS.Human.Brain.9w.Male,0.036226457,1.537426439,0.074412584,0.06644427,0.034372737,0.155247511
StrandedData,5567sTS.Human.Cerebellum.7ypb.Male,0.05310244,4.538640074,0.077246008,0.095403822,0.060203676,0.223799269
StrandedData,5781sTS.Human.Liver.19w.Female,0.027871882,1.510889041,0.063150053,0.047727129,0.027140418,0.13653498
StrandedData,5637sTS.Human.Hindbrain.11w.Female,0.035890688,2.437544904,0.076441507,0.071185834,0.032475125,0.160720026
StrandedData,5920sTS.Human.Ovary.7w.Female,0.040043124,1.446378435,0.076526161,0.076970313,0.03296897,0.193789823
StrandedData,5515sTS.Human.Brain.14ypb.Male,0.060806854,2.938791671,0.086603959,0.14881376,0.062391164,0.19312646
StrandedData,3642sTS.Human.Testis.CS19.Male,0.034830866,1.787186418,0.104118774,0.087480457,0.031985703,0.193975622
StrandedData,5560sTS.Human.Testis.221dpb.Male,0.0467948,3.405599068,0.073896262,0.082661052,0.046063473,0.195276271
StrandedData,5525sTS.Human.Cerebellum.58ypb.Male,0.056128779,4.390763135,0.084959332,0.106381488,0.060476918,0.234878714
StrandedData,5937sTS.Human.Testis.13w.Male,0.044342366,2.00426952,0.223430334,0.089842459,0.035905368,0.287182454
StrandedData,2017sTSm.Human.Liver.CS22.Female,0.036752979,1.621584861,0.07292381,0.066867159,0.034713339,0.160082095
StrandedData,2032sTSm.Human.Heart.CS22.Female,0.038686519,1.395434186,0.08622582,0.070827812,0.03667587,0.191464619
StrandedData,5643sTS.Human.Kidney.6w.Female,0.03533198,2.167876373,0.098476081,0.082369625,0.030399482,0.173324558
StrandedData,3674sTS.Human.Hindbrain.CS17.Female,0.036493809,1.983933487,0.073624602,0.083996842,0.031994943,0.16076499
StrandedData,5834sTS.Human.Kidney.34dpb.Male,0.055135143,2.386123811,0.338362035,0.147015526,0.044963547,0.40145338
StrandedData,2035sTSm.Human.Forebrain.8w.Male,0.040395561,3.249291961,0.078737795,0.068994695,0.041035917,0.188742617
StrandedData,2024sTSb.Human.Heart.10w.Male,0.034393223,0.952903899,0.057870183,0.052582042,0.025307125,0.142017841
StrandedData,5842sTS.Human.Cerebellum.0dpb.Female,0.040771137,2.431814244,0.070950552,0.086798306,0.036631666,0.184792107
StrandedData,2110sTS.Human.Testis.11w.Male,0.048218407,1.827884977,0.105740724,0.125069487,0.043193838,0.210463244
StrandedData,2111sTS.Human.Forebrain.11w.Male,0.043569245,1.813329461,0.100888368,0.086866038,0.047666911,0.202965134
StrandedData,5650sTS.Human.Kidney.6w.Male,0.070590123,2.322092397,0.100128896,0.126064318,0.072207941,0.191975921
StrandedData,5819sTS.Human.Kidney.226dpb.Female,0.043524109,2.349944189,0.18641127,0.089738653,0.037977062,0.253557295
StrandedData,5539sTS.Human.Brain.221dpb.Male,0.130421477,2.892844392,0.159792989,0.203949305,0.129931452,0.510513243
StrandedData,5771sTS.Human.Kidney.20w.Female,0.035474994,1.59048547,0.059316286,0.079958981,0.033432516,0.150740787
StrandedData,2085sTSm.Human.Liver.CS23.Female,0.049879204,1.298960958,0.07847596,0.097659514,0.038670198,0.169189358
StrandedData,5687sTS.Human.Kidney.16w.Male,0.037256363,1.13085881,0.112702993,0.125556047,0.039854256,0.262736243
StrandedData,5657sTS.Human.Liver.18w.Male,0.030417266,1.327049017,0.069887872,0.06941157,0.025340003,0.145900785
StrandedData,5559sTS.Human.Cerebellum.2ypb.Female,0.04871423,3.581610504,0.073569878,0.089129823,0.049727875,0.207510776
StrandedData,5916sTS.Human.Testis.5w.Male,0.030917394,2.235980005,0.055963612,0.080692821,0.026481026,0.149409535
StrandedData,5561sTS.Human.Testis.14ypb.Male,0.043424912,2.570602742,0.065993696,0.089191475,0.045381998,0.193426446
StrandedData,2016sTSm.Human.Liver.CS22.Male,0.037206854,1.404227467,0.078189832,0.072587303,0.035718192,0.167238953
StrandedData,3671sTS.Human.Heart.CS16.Male,0.036574438,1.859366527,0.076251327,0.090008223,0.033072475,0.167352464
StrandedData,2034sTS.Human.Forebrain.CS22.Female,0.036621528,1.850161497,0.082271002,0.066510222,0.038311046,0.178371445
StrandedData,5836sTS.Human.Heart.127dpb.Male,0.064459244,1.407228338,1.761137219,0.139325608,0.047734838,1.270554331
StrandedData,5675sTS.Human.Kidney.7w.Male,0.044686006,1.72667415,0.091879159,0.088200759,0.033771708,0.182098627
StrandedData,3779sTS.Human.Liver.11w.Female,0.068371537,1.197728006,0.153319739,0.167199238,0.06681666,0.256838587
StrandedData,5629sTS.Human.Liver.5w.Male,0.035512865,1.840810311,0.143171357,0.071059538,0.032156412,0.210312916
StrandedData,2088sTS.Human.Heart.CS18.Male,0.061633292,1.612421287,0.105569873,0.086662507,0.046107018,0.219479527
StrandedData,5701sTS.Human.Heart.16w.Male,0.035080591,0.793832832,0.143880258,0.085085408,0.028324492,0.249176103
StrandedData,5948sTS.Human.Liver.18w.Female,0.037825158,1.319718463,0.295572682,0.09447012,0.032678233,0.301563468
StrandedData,2020sTSm.Human.Testis.8w.Male,0.053226317,3.189695876,0.103081317,0.106255203,0.056613162,0.245356498
StrandedData,5563sTS.Human.Liver.39ypb.Male,0.050681285,3.549779242,0.08312825,0.099434197,0.054951552,0.21767339
StrandedData,5698sTS.Human.Kidney.16w.Male,0.030083415,1.304206864,0.070666245,0.102093954,0.027446117,0.158824311
StrandedData,5553sTS.Human.Brain.17ypb.Male,0.058255208,2.999505394,0.091124976,0.16181394,0.055854463,0.217124735
StrandedData,5522sTS.Human.Cerebellum.39ypb.Male,0.052945993,4.843428044,0.091018933,0.097530343,0.059802742,0.234461393
StrandedData,2027sTS.Human.Heart.CS21.Male,0.033708734,2.016765343,0.07817737,0.061015504,0.03532451,0.172375256
StrandedData,2018sTSm.Human.Ovary.CS22.Female,0.050779094,1.925320563,0.088161891,0.084592051,0.043995388,0.194528527
StrandedData,5534sTS.Human.Cerebellum.16ypb.Male,0.057100362,4.52609914,0.080701662,0.099831587,0.059631909,0.231076344
StrandedData,5926sTS.Human.Testis.9w.Male,0.046773652,2.04643851,0.083910141,0.086566688,0.039443157,0.209926293
StrandedData,5564sTS.Human.Testis.14ypb.Male,0.046280309,2.743472269,0.072298902,0.085656954,0.045766937,0.191733021
StrandedData,5960sTS.Human.Brain.19w.Male,0.052531849,1.660626636,0.117527333,0.088529344,0.045242292,0.247130814
StrandedData,5537sTS.Human.Brain.8ypb.Male,0.052353297,2.712625526,0.072841834,0.148513599,0.052067013,0.203110933
StrandedData,2033sTS.Human.Hindbrain.CS22.Female,0.040432823,2.172462408,0.084701959,0.067514389,0.041591969,0.185367737
StrandedData,2025sTSb.Human.Liver.10w.Male,0.041726707,1.245841055,0.068438794,0.080426822,0.032844752,0.163415912
StrandedData,2037sTSb.Human.Heart.8w.Male,0.038597382,2.064425574,0.062491859,0.058170478,0.031497005,0.158735925
StrandedData,5628sTS.Human.Forebrain.5w.Female,0.044131239,1.906295671,0.162071118,0.073337717,0.038692518,0.238346113
StrandedData,2094sTS.Human.Liver.10w.Female,0.042919654,1.899806435,0.09610093,0.092162273,0.047644325,0.197381335
StrandedData,3677sTS.Human.Testis.CS18.Male,0.03718351,1.609804761,0.081564444,0.107813104,0.029505973,0.157826468
StrandedData,5935sTS.Human.Testis.12w.Male,0.039453448,2.073055399,0.202097341,0.07024919,0.035374334,0.254742081
StrandedData,3638sTS.Human.Heart.CS21.Male,0.037257087,1.13251796,0.07466001,0.08896953,0.031924269,0.176176522
StrandedData,5930sTS.Human.Kidney.10w.Female,0.032999469,1.458557913,0.060769531,0.07114852,0.026522634,0.165767185
StrandedData,3769sTS.Human.Hindbrain.12w.Male,0.045288771,2.549314348,0.135069659,0.121544257,0.037855258,0.190760152
StrandedData,2076sTS.Human.Liver.CS18.Male,0.052979018,1.695248743,0.113568541,0.122918587,0.054574893,0.228855075
StrandedData,5551sTS.Human.Liver.39ypb.Male,0.071053658,3.400815351,0.138414535,0.137712125,0.074137671,0.262517323
StrandedData,5545sTS.Human.Cerebellum.14ypb.Male,0.055157403,4.395312427,0.080386237,0.097088893,0.056984592,0.219140991
StrandedData,5569sTS.Human.Brain.7ypb.Male,0.049394273,3.49686996,0.071456144,0.094995412,0.049418171,0.190698206
StrandedData,5656sTS.Human.Liver.16w.Male,0.030647386,1.240748403,0.066443063,0.069521783,0.025923026,0.144954614
StrandedData,5542sTS.Human.Brain.19dpb.Female,0.052497645,3.509497707,0.078255115,0.117134777,0.053324775,0.210291119
StrandedData,5848sTS.Human.Cerebellum.0dpb.Female,0.044300806,2.261341325,0.136150024,0.14315563,0.036111525,0.237791674
StrandedData,5711sTS.Human.Forebrain.13w.Male,0.03560895,2.390666931,0.057354781,0.075513824,0.035170467,0.14440147
StrandedData,5956sTS.Human.Hindbrain.16w.Female,0.044354432,3.896766165,0.082883799,0.0741661,0.046460434,0.212021864
StrandedData,5517sTS.Human.Brain.50ypb.Male,0.051024035,3.110605854,0.071428533,0.126044031,0.048654271,0.189101259
StrandedData,5721sTS.Human.Forebrain.12w.Male,0.033724377,1.483151032,0.074289347,0.090784207,0.030358997,0.159090403
StrandedData,2015sTSb.Human.Testis.CS21.Male,0.042701978,2.200919185,0.072498968,0.062429537,0.037013415,0.173026716
StrandedData,3668sTS.Human.Hindbrain.11w.Male,0.038816542,2.311913726,0.071401565,0.095213715,0.035315816,0.164159768
StrandedData,6100sTS.Human.Heart.4ypb.Female,0.062518851,1.420070762,1.087421326,0.396667962,0.048866734,1.06211716
StrandedData,5514sTS.Human.Brain.58ypb.Male,0.052052815,3.147270766,0.090002809,0.1358648,0.054748108,0.213644286
StrandedData,5910sTS.Human.Liver.4w.Male,0.039981333,2.00754526,0.087502901,0.092324808,0.032680691,0.197168847
StrandedData,3672sTS.Human.Hindbrain.CS18.Male,0.036481549,1.307177791,0.069982732,0.08788345,0.032507904,0.160066355
StrandedData,5837sTS.Human.Brain.4ypb.Male,0.118499819,2.499916356,3.005090289,0.317451828,0.078225295,2.423746577
