Sample	Gene	TPM
20230627_GABAergic_10mo	ADAR	10.4371722427815
20230627_GABAergic_1mo	ADAR	0
20230627_GABAergic_3mo	ADAR	8.60555604462257
20230627_GABAergic_6mo	ADAR	3.29503859075676
20230627_Glia_10mo	ADAR	11.2068392561544
20230627_Glia_1mo	ADAR	12.1738724029265
20230627_Glia_3mo	ADAR	6.9304200875275
20230627_Glia_6mo	ADAR	8.63638106975904
20230627_Glutamatergic_10mo	ADAR	15.5753537463022
20230627_Glutamatergic_1mo	ADAR	12.1419656372779
20230627_Glutamatergic_3mo	ADAR	9.11543899278812
20230627_Glutamatergic_6mo	ADAR	9.99175163349151
20230627_IP_10mo	ADAR	17.0188044106736
20230627_IP_1mo	ADAR	5.8774936350974
20230627_IP_3mo	ADAR	7.84105954679
20230627_IP_6mo	ADAR	6.54476943798135
20230627_Progenitor_10mo	ADAR	30.1598279661408
20230627_Progenitor_1mo	ADAR	12.7725629786675
20230627_Progenitor_3mo	ADAR	5.87042582540868
20230627_Progenitor_6mo	ADAR	11.0450606498439
20230627_GABAergic_10mo	ADARB2	0
20230627_GABAergic_1mo	ADARB2	0
20230627_GABAergic_3mo	ADARB2	0.0288694611143805
20230627_GABAergic_6mo	ADARB2	0
20230627_Glia_10mo	ADARB2	0
20230627_Glia_1mo	ADARB2	0
20230627_Glia_3mo	ADARB2	0
20230627_Glia_6mo	ADARB2	0
20230627_Glutamatergic_10mo	ADARB2	0.0250755788527495
20230627_Glutamatergic_1mo	ADARB2	0
20230627_Glutamatergic_3mo	ADARB2	0.0415314479329785
20230627_Glutamatergic_6mo	ADARB2	0
20230627_IP_10mo	ADARB2	0.378246283691234
20230627_IP_1mo	ADARB2	0
20230627_IP_3mo	ADARB2	0.193108996585599
20230627_IP_6mo	ADARB2	0
20230627_Progenitor_10mo	ADARB2	0
20230627_Progenitor_1mo	ADARB2	0.0643382087080918
20230627_Progenitor_3mo	ADARB2	0
20230627_Progenitor_6mo	ADARB2	0.324665312269624
20230627_GABAergic_10mo	ADARB1	0.857224157562883
20230627_GABAergic_1mo	ADARB1	0
20230627_GABAergic_3mo	ADARB1	2.32235695721643
20230627_GABAergic_6mo	ADARB1	0
20230627_Glia_10mo	ADARB1	0.887474969323954
20230627_Glia_1mo	ADARB1	0.736740816532333
20230627_Glia_3mo	ADARB1	0.581819007005031
20230627_Glia_6mo	ADARB1	0.604045384337257
20230627_Glutamatergic_10mo	ADARB1	1.5029851307602
20230627_Glutamatergic_1mo	ADARB1	2.32689794250869
20230627_Glutamatergic_3mo	ADARB1	4.78939412184499
20230627_Glutamatergic_6mo	ADARB1	3.01683242079943
20230627_IP_10mo	ADARB1	1.69041158712334
20230627_IP_1mo	ADARB1	2.58126118824378
20230627_IP_3mo	ADARB1	1.42144286679671
20230627_IP_6mo	ADARB1	0.216249291980751
20230627_Progenitor_10mo	ADARB1	0
20230627_Progenitor_1mo	ADARB1	1.70489786603083
20230627_Progenitor_3mo	ADARB1	0
20230627_Progenitor_6mo	ADARB1	0.910402588583439
