StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,G2AEditingIndex,G2CEditingIndex,G2TEditingIndex,T2AEditingIndex,T2CEditingIndex,T2GEditingIndex
StrandedData,1mo_GABAergic,0.081956651,0.551505482,0.05722918,0.112888442,0.063725287,0.24306615,0.234933653,0.052406978,0.057551129,0.088901141,0.520808316,0.089589679
StrandedData,1mo_Glutamatergic,0.070037141,0.619674964,0.051300403,0.098865411,0.063103536,0.21830359,0.204344321,0.049031045,0.062126029,0.078297152,0.566214913,0.08339369
StrandedData,1mo_IP,0.062574864,0.517532307,0.050759492,0.097498359,0.052067746,0.19162837,0.185311929,0.04893038,0.057148816,0.071983998,0.482056517,0.078122695
StrandedData,1mo_Glia,0.064321702,0.542139734,0.046645573,0.096394573,0.054008297,0.194444409,0.191282285,0.047309617,0.057268988,0.072884681,0.511351791,0.078827772
StrandedData,6mo_IP,0.062471548,0.456787787,0.054363793,0.080617236,0.053410583,0.219589076,0.206930941,0.053819504,0.062786323,0.068812219,0.544297911,0.065216948
StrandedData,10mo_GABAergic,0.063469381,0.387525442,0.048646174,0.080175651,0.047327598,0.201005428,0.185561637,0.052755069,0.061016556,0.064371053,0.41779078,0.059379438
StrandedData,3mo_IP,0.058934714,0.415120174,0.043583286,0.099579685,0.053261285,0.187476194,0.188214487,0.04530223,0.05559683,0.072943859,0.472989427,0.077578756
StrandedData,6mo_Glia,0.06891122,0.626214128,0.055367334,0.084380375,0.055665656,0.228672308,0.213828667,0.05919307,0.06498955,0.073768226,0.713355178,0.068953811
StrandedData,6mo_Progenitor,0.064783342,0.631594409,0.054584942,0.082374983,0.053571363,0.22235033,0.204608242,0.057205473,0.063939582,0.071802522,0.650642287,0.064719805
StrandedData,10mo_Glia,0.067934687,0.581709259,0.056435812,0.083911875,0.053563729,0.232407635,0.215431957,0.05825312,0.065586011,0.071145478,0.60108645,0.066590218
StrandedData,3mo_Progenitor,0.063131524,0.590650279,0.048170931,0.103400946,0.057389909,0.199683258,0.1997205,0.051049105,0.061724672,0.078797691,0.650568555,0.079805072
StrandedData,10mo_IP,0.063251858,0.424121801,0.052132767,0.079123008,0.050842742,0.219447512,0.199855531,0.053357409,0.064052049,0.069930644,0.473815408,0.062213124
StrandedData,3mo_Glia,0.062035359,0.502163402,0.044401004,0.100168149,0.054252523,0.188896633,0.189156834,0.046349356,0.057275707,0.074349025,0.544637127,0.078931799
StrandedData,10mo_Glutamatergic,0.066395954,0.60267184,0.054123069,0.081454423,0.052763395,0.226506994,0.207842331,0.057011445,0.064880359,0.070572944,0.641687888,0.066652259
StrandedData,3mo_Glutamatergic,0.062454256,0.618892185,0.044624363,0.101502227,0.055215368,0.192494914,0.194533672,0.048936022,0.057469661,0.074843169,0.634314407,0.081690065
StrandedData,6mo_Glutamatergic,0.06604672,0.69159907,0.053492905,0.081341798,0.053899873,0.221173992,0.207305453,0.056170933,0.063144396,0.07085666,0.743759606,0.067550283
StrandedData,1mo_Progenitor,0.064858906,0.582544311,0.047851863,0.099258903,0.052972026,0.194522355,0.193234346,0.046012697,0.057882057,0.073707798,0.493223096,0.078492766
StrandedData,3mo_GABAergic,0.060983666,0.537573827,0.043455897,0.099202402,0.052761575,0.183539255,0.186032557,0.046035929,0.056011929,0.072324025,0.544116777,0.07844492
