StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex
StrandedData,SCP_ter4,0.040362861,0.534708207,0.036934971,0.070496216,0.044860777,0.166610495
StrandedData,Smooth-Muscle_ter4,0.041597311,0.456741375,0.035275186,0.071531705,0.042432317,0.150694464
StrandedData,Kidney-Prog_ter4,0.041792536,0.406986113,0.036902749,0.068623581,0.042683371,0.143210875
StrandedData,Chondrogenic-MSC-Fib_ter4,0.04234979,0.463671335,0.039181031,0.077201378,0.047866484,0.162625366
StrandedData,MyoFib_ter2,0.040912097,0.675917338,0.03672522,0.064633399,0.04218838,0.148253195
StrandedData,Muscle_ter4,0.044391944,0.337827747,0.036839676,0.075451076,0.045725446,0.153184372
StrandedData,Hematopoietic_ter3,0.040994804,0.611787636,0.034451033,0.06079803,0.038628161,0.1372471
StrandedData,Chondrogenic-MSC-Fib_ter1,0.041165795,0.438743565,0.039203484,0.061495569,0.040549708,0.15155098
StrandedData,Cycling-MSC-Fib_ter3,0.040604125,0.522592113,0.036953528,0.062117904,0.039799238,0.139391172
StrandedData,Retinal-Epi_ter2,0.039148021,0.587838431,0.036617376,0.060977977,0.038721227,0.137466735
StrandedData,Gut-Epi_ter4,0.040999686,0.528624453,0.036073547,0.071646241,0.043406655,0.149578742
StrandedData,Smooth-Muscle_ter1,0.042413674,0.463673533,0.039102946,0.058428016,0.039471558,0.141106282
StrandedData,Adipogenic-MSC-Fib_ter2,0.040587607,0.631265456,0.036529852,0.063078322,0.041068593,0.146092054
StrandedData,Cycling-MSC-Fib_ter4,0.043399596,0.499922022,0.037766987,0.073790534,0.045895176,0.157361675
StrandedData,Pericytes_ter2,0.038399449,0.541207224,0.03580436,0.058792416,0.039563316,0.141260946
StrandedData,Neural-Progenitors_ter2,0.041260087,0.57397461,0.036836286,0.065248736,0.041602814,0.149512863
StrandedData,Kidney-Prog_ter1,0.041046462,0.351813161,0.041269448,0.067974376,0.04261447,0.13681183
StrandedData,Hematopoietic_ter2,0.038050615,0.594846151,0.038174916,0.06216027,0.036813833,0.135459129
StrandedData,Neurons_ter3,0.043030396,0.547546512,0.038336181,0.065158309,0.042730422,0.151202176
StrandedData,MSC-Fib_ter2,0.041725842,0.60477168,0.036728886,0.063312556,0.040880759,0.145207146
StrandedData,Smooth-Muscle_ter2,0.038349181,0.567875694,0.034000069,0.059434658,0.037984318,0.137669854
StrandedData,Neurons_ter2,0.043046713,0.562220929,0.038523924,0.067365364,0.042717347,0.155921782
StrandedData,SCP_ter2,0.038666845,0.640553706,0.033185149,0.061681762,0.039417835,0.147010603
StrandedData,Retinal-Epi_ter1,0.043644215,0.522699738,0.039051881,0.063406027,0.0408546,0.145947385
StrandedData,Hematopoietic_ter1,0.046550678,0.559756816,0.04174324,0.060675147,0.039606208,0.143742258
StrandedData,MSC-Fib_ter3,0.04220475,0.512873499,0.037901019,0.061859647,0.041085549,0.144432372
StrandedData,Gut-Epi_ter3,0.040696174,0.614812216,0.035858424,0.05985343,0.040932747,0.137550919
StrandedData,MyoFib_ter4,0.043869256,0.563947342,0.038009257,0.075867312,0.04491746,0.158590545
StrandedData,MyoFib_ter1,0.044700304,0.518890162,0.040098995,0.062873564,0.041480957,0.15009558
StrandedData,Chondrogenic-MSC-Fib_ter2,0.040803993,0.532127093,0.037192124,0.064060547,0.038894388,0.13995116
StrandedData,Hematopoietic_ter4,0.043357407,0.503528509,0.038151485,0.070578635,0.04511759,0.146665529
StrandedData,SCP_ter3,0.04088567,0.580088402,0.035596964,0.056929983,0.036304496,0.135805382
StrandedData,Muscle_ter2,0.042896306,0.322644915,0.03606573,0.071089167,0.038845776,0.14657255
StrandedData,Cycling-MSC-Fib_ter1,0.044710796,0.461298832,0.038932513,0.063121169,0.040990145,0.148110456
StrandedData,MyoFib_ter3,0.042234982,0.604519492,0.038008136,0.062243841,0.041800314,0.139100202
StrandedData,Kidney-Prog_ter2,0.036024045,0.410569543,0.033773302,0.060733768,0.037044032,0.130725801
StrandedData,Pericytes_ter1,0.045577377,0.502534994,0.038853652,0.065098105,0.040844176,0.15007137
StrandedData,Smooth-Muscle_ter3,0.041943621,0.631391286,0.03616502,0.062396435,0.041422032,0.145754807
StrandedData,Adipogenic-MSC-Fib_ter1,0.044005096,0.463414924,0.038245041,0.063569818,0.041597354,0.148163957
StrandedData,Muscle_ter3,0.044589387,0.412119198,0.039687255,0.077641043,0.040200696,0.161843197
StrandedData,Adipogenic-MSC-Fib_ter4,0.04442041,0.485137554,0.038119816,0.075850731,0.047326856,0.163176801
StrandedData,Pericytes_ter4,0.042814084,0.527479823,0.038846984,0.075385367,0.047341648,0.160680456
StrandedData,Neurons_ter1,0.046204204,0.5299405,0.04037629,0.065642163,0.043428025,0.156322704
