StrandDecidingMethod,Sample,A2CEditingIndex,A2GEditingIndex,A2TEditingIndex,C2AEditingIndex,C2GEditingIndex,C2TEditingIndex,G2AEditingIndex,G2CEditingIndex,G2TEditingIndex,T2AEditingIndex,T2CEditingIndex,T2GEditingIndex
StrandedData,Melanoblasts_ter2,0.037878479,0.694617614,0.034617347,0.063461129,0.040235516,0.147167862,0.147421026,0.031863324,0.038036732,0.053740739,0.498456733,0.045939122
StrandedData,Schwann-Cells_ter4,0.040177048,0.517667008,0.036953326,0.070034521,0.044757784,0.162842351,0.176225301,0.035517596,0.039485642,0.072340053,0.472936136,0.052001815
StrandedData,Melanoblasts_ter4,0.041314205,0.622272424,0.036840148,0.07283727,0.045386502,0.184473971,0.188823857,0.041170067,0.031752789,0.06382794,0.528578834,0.06535881
StrandedData,Retinal-Neurons_ter3,0.042668802,0.595758844,0.041074578,0.063419774,0.043900643,0.150890679,0.149242611,0.038129638,0.036124725,0.055694241,0.513884781,0.05079304
StrandedData,Retinal-Neurons_ter1,0.046479797,0.602117801,0.04226614,0.064500703,0.043812926,0.156554875,0.150934432,0.038744621,0.037442488,0.057452025,0.457577928,0.050093895
StrandedData,Melanoblasts_ter1,0.046936176,0.52716327,0.039942273,0.070617425,0.039138196,0.160176957,0.146380101,0.040626375,0.034744599,0.065771467,0.474789762,0.043312685
StrandedData,Melanoblasts_ter3,0.040326255,0.594651714,0.035179065,0.05732522,0.036440976,0.135843139,0.140731557,0.031204994,0.032837534,0.048722661,0.430269302,0.043993145
StrandedData,Schwann-Cells_ter3,0.048827253,0.38514949,0.040494268,0.052488904,0.0325629,0.131450537,0.142262318,0.03647163,0.032999288,0.049087231,0.359417844,0.045703452
StrandedData,GABAergic_ter4,0.044326416,0.508499429,0.037620788,0.074080388,0.049915593,0.163821469,0.186461311,0.041360475,0.035666965,0.065605284,0.582828962,0.055241788
StrandedData,Retinal-Epi_ter2,0.039191413,0.587682291,0.0365999,0.061045458,0.03869131,0.137484168,0.141077341,0.034164726,0.032888755,0.053358339,0.412847523,0.045709386
StrandedData,Early-Neurons_ter1,0.046049911,0.523222665,0.040894662,0.06624294,0.043238912,0.158939157,0.155121024,0.037360394,0.036331009,0.05849728,0.584326883,0.049668322
StrandedData,GABAergic_ter3,0.047435834,0.633068304,0.034856759,0.063370379,0.044282086,0.149134838,0.151235902,0.034079215,0.032360863,0.054540878,0.568929148,0.047336718
StrandedData,Retinal-Neurons_ter2,0.041113473,0.555294376,0.041489355,0.068045534,0.048350209,0.165416132,0.176854097,0.041305501,0.032280566,0.058055415,0.604718676,0.053174846
StrandedData,Radial-Glia_ter4,0.044059956,0.615760311,0.038216423,0.073959181,0.047478919,0.165526558,0.185961252,0.040354341,0.038681206,0.069661918,0.510107672,0.056694584
StrandedData,CycProg_ter3,0.042941247,0.538529798,0.037938509,0.065180978,0.042152319,0.146514688,0.151249249,0.037432186,0.036635286,0.056804204,0.515234176,0.046528035
StrandedData,CycProg_ter4,0.044224098,0.630061894,0.038579341,0.074207305,0.047094926,0.164239213,0.180672427,0.040820949,0.038856317,0.071266054,0.499371963,0.058326557
StrandedData,Glutamatergic_ter4,0.046346151,0.656626098,0.036807809,0.086708258,0.040729319,0.169574795,0.213807592,0.043860877,0.034531998,0.086409841,0.689809085,0.050367204
StrandedData,Intermediate-Progenitor_ter4,0.047751391,0.556232938,0.042028608,0.081403468,0.053100024,0.174225344,0.190100336,0.042808037,0.038043945,0.073006,0.583626334,0.061389977
StrandedData,Schwann-Cells_ter1,0.044127652,0.494117704,0.036994238,0.059848996,0.040919256,0.143250211,0.140665431,0.035388638,0.036328574,0.052742348,0.463833976,0.046184332
StrandedData,Glutamatergic_ter3,0.043272052,0.660654163,0.039233999,0.068592024,0.045803413,0.167261582,0.162731834,0.041020957,0.037798858,0.061551955,0.738745593,0.051036463
StrandedData,Early-Neurons_ter4,0.048629278,0.586631023,0.038719809,0.07854361,0.051366978,0.173346309,0.190119333,0.042746642,0.042210686,0.074177327,0.629555451,0.059193201
StrandedData,Early-Neurons_ter3,0.043125907,0.563725376,0.038004449,0.065801727,0.045908037,0.152517969,0.148032659,0.038721474,0.036629809,0.056871103,0.57769647,0.047078452
StrandedData,Early-Neurons_ter2,0.043095231,0.571359859,0.038509307,0.067576096,0.043530989,0.154474813,0.153220943,0.036739305,0.035320396,0.056605665,0.633319278,0.045386965
StrandedData,GABAergic_ter2,0.043855191,0.547067003,0.038658332,0.067849996,0.042915054,0.159485651,0.157956835,0.038729777,0.036764865,0.059149187,0.630339674,0.047122033
StrandedData,Radial-Glia_ter3,0.042303872,0.45356722,0.039339267,0.064873177,0.042096289,0.148711128,0.148450218,0.036167327,0.036531414,0.056947977,0.448324777,0.045790858
StrandedData,Retinal-Neurons_ter4,0.041298046,0.602431788,0.03760182,0.075868359,0.046174924,0.158904992,0.174290236,0.036784416,0.039571493,0.070215754,0.41505194,0.057026447
StrandedData,Glutamatergic_ter2,0.042881414,0.654335947,0.037036115,0.067602727,0.042573815,0.157118354,0.159435634,0.039010199,0.036858706,0.05774979,0.680447854,0.047257157
StrandedData,Intermediate-Progenitor_ter3,0.042526827,0.479232503,0.037541161,0.064870162,0.040020136,0.146782347,0.148110076,0.035681543,0.03477525,0.054216043,0.486473376,0.045525102
StrandedData,GABAergic_ter1,0.047687646,0.579505344,0.041039475,0.066174184,0.046698662,0.163071383,0.160725145,0.038034528,0.036825508,0.057391362,0.58529693,0.051942014
StrandedData,Retinal-Epi_ter3,0.041435007,0.614008309,0.038699906,0.063011559,0.040580567,0.142281207,0.145671418,0.036403597,0.034903184,0.055721164,0.388221439,0.047099942
StrandedData,Retinal-Epi_ter1,0.043673748,0.522840491,0.038992797,0.063507657,0.040829147,0.145956972,0.146811581,0.035627183,0.035338561,0.056386348,0.38205344,0.04752589
StrandedData,Glutamatergic_ter1,0.045443279,0.585054986,0.041195364,0.066780088,0.04414927,0.159986406,0.154071882,0.039490426,0.037034399,0.057411654,0.629376087,0.047516369
StrandedData,Radial-Glia_ter2,0.042125967,0.589355886,0.037533808,0.065413714,0.04208828,0.152137168,0.153344139,0.036404694,0.036495954,0.056791224,0.532322217,0.047172098
StrandedData,CycProg_ter1,0.044787728,0.484126146,0.039680096,0.062426029,0.041048974,0.146994646,0.145961247,0.034922441,0.036331185,0.055644728,0.393054073,0.044696693
StrandedData,Intermediate-Progenitor_ter2,0.042388037,0.532501162,0.038823342,0.066381907,0.041324467,0.152802988,0.151331838,0.036277521,0.035323002,0.055659749,0.586548664,0.046566537
StrandedData,CycProg_ter2,0.039336111,0.539169714,0.035207951,0.064954673,0.040421187,0.143579224,0.144788868,0.033673278,0.03325875,0.054906945,0.459925102,0.044377148
StrandedData,Intermediate-Progenitor_ter1,0.046349751,0.469882285,0.038635494,0.06462948,0.042096127,0.149575221,0.149160367,0.035193172,0.036301489,0.054204351,0.508487531,0.047088908
StrandedData,Radial-Glia_ter1,0.044462464,0.57742965,0.038969362,0.063008031,0.042604184,0.147414906,0.14592457,0.035643767,0.036505749,0.055380541,0.42742169,0.046564481
