Sample,A2GEditingIndex,Subject,CellType,Organ,Development_day
1,H27431_Cerebrum_SRR12355440_Vascular-Endo,0.641158221303,H27431,Vascular-Endo,Cerebrum,110
2,H27477_Cerebellum-2_SRR12554979_Microglia,0.706717494832,H27477,Microglia,Cerebellum,125
3,H27058_Cerebrum_SRR12355420_Vascular-Endo,0.682418368014,H27058,Vascular-Endo,Cerebrum,115
4,H27474_Cerebrum-2_SRR12575330_Vascular-Endo,0.554375813635,H27474,Vascular-Endo,Cerebrum,89
5,H27472_Cerebellum_SRR12355469_Microglia,0.571690429632,H27472,Microglia,Cerebellum,94
6,H27634_Cerebellum_SRR12355497_Vascular-Endo,0.739531156313,H27634,Vascular-Endo,Cerebellum,115
7,H27477_Cerebellum-2_SRR12554979_Vascular-Endo,0.767890017696,H27477,Vascular-Endo,Cerebellum,125
8,H27477_Cerebellum-1_SRR12554978_Oligodendrocytes,0.621325584611,H27477,Oligodendrocytes,Cerebellum,125
9,H27472_Cerebellum_SRR12355469_Vascular-Endo,0.664788626013,H27472,Vascular-Endo,Cerebellum,94
10,H27474_Cerebellum_SRR12355483_In-Interneurons,0.645094180592,H27474,In-Interneurons,Cerebellum,89
11,H27472_Cerebellum_SRR12355469_Oligodendrocytes,0.611702706332,H27472,Oligodendrocytes,Cerebellum,94
12,H27477_Cerebellum-3_SRR12554980_Vascular-Endo,0.768462011313,H27477,Vascular-Endo,Cerebellum,125
13,H27423_Cerebrum_SRR12355434_Oligodendrocytes,0.836528938213,H27423,Oligodendrocytes,Cerebrum,115
14,H27474_Cerebrum-3A_SRR12907909_Astrocytes,0.718231588181,H27474,Astrocytes,Cerebrum,89
15,H27471_Cerebrum_SRR12355458_Astrocytes,0.58313804567,H27471,Astrocytes,Cerebrum,110
16,H27471_Cerebellum-1_SRR12554895_In-Interneurons,0.724272414893,H27471,In-Interneurons,Cerebellum,110
17,H27423_Cerebrum_SRR12355434_Astrocytes,0.910284011198,H27423,Astrocytes,Cerebrum,115
18,H27471_Cerebrum_SRR12355458_In-Neurons,0.529514651391,H27471,In-Neurons,Cerebrum,110
19,H27477_Cerebellum-1_SRR12554978_In-Interneurons,0.750543122033,H27477,In-Interneurons,Cerebellum,125
20,H27477_Cerebellum-3_SRR12554980_Ex-Neurons,0.840941197072,H27477,Ex-Neurons,Cerebellum,125
21,H27471_Cerebellum-3_SRR12508220_Neurons,0.90937862358,H27471,Neurons,Cerebellum,110
