StrandDecidingMethod	Sample	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Age
StrandedData	Neural-Progenitors_wk4_M1_1	0.052142318	0.702378493	0.059311998	0.068982628	0.059714895	0.218160007	Neural-Progenitors	wk4
StrandedData	Neural-Progenitors_wk4_M1_2	0.038380294	0.544104642	0.044250746	0.050385741	0.043001482	0.170798709	Neural-Progenitors	wk4
StrandedData	Neural-Progenitors_wk6_M15_1	0.047084175	0.694652306	0.054260425	0.064079378	0.055240335	0.200291296	Neural-Progenitors	wk6
StrandedData	Neural-Progenitors_wk6_M9_1	0.065580487	1.936115638	0.071611994	0.078791047	0.077500765	0.262490671	Neural-Progenitors	wk6
StrandedData	Neural-Progenitors_wk8_M10_1	0.053294718	0.993043959	0.057258076	0.063673011	0.058169119	0.209279706	Neural-Progenitors	wk8
StrandedData	Neural-Progenitors_wk8_M8_1	0.052867009	0.880240065	0.056424835	0.063959268	0.054590661	0.207350723	Neural-Progenitors	wk8
StrandedData	Neural-Progenitors_wk8_M8_2	0.039099838	0.579962704	0.045450531	0.051141618	0.045242064	0.1724012	Neural-Progenitors	wk8
StrandedData	Neural-Progenitors_wk10_A_2	0.061484875	1.680409773	0.066075515	0.072929585	0.071296719	0.243556172	Neural-Progenitors	wk10
StrandedData	Neural-Progenitors_wk10_A_3	0.042663629	0.982605029	0.048363845	0.053384171	0.048390134	0.181484154	Neural-Progenitors	wk10
StrandedData	Neural-Progenitors_wk10_A_4	0.044331815	1.228337688	0.049330134	0.054792967	0.051249952	0.188948882	Neural-Progenitors	wk10
StrandedData	Neural-Progenitors_wk10_B_1	0.053914918	0.93869167	0.061569438	0.06816396	0.062042349	0.222904407	Neural-Progenitors	wk10
StrandedData	Neural-Progenitors_wk10_B_3	0.039580695	0.925007762	0.047608512	0.052215636	0.047661858	0.178401074	Neural-Progenitors	wk10
StrandedData	Neurons_wk4_M1_1	0.050391712	0.66834061	0.057319444	0.069412273	0.059581735	0.216434955	Neurons	wk4
StrandedData	Neurons_wk4_M1_2	0.038845869	0.583695379	0.04445606	0.05187247	0.043980427	0.170948659	Neurons	wk4
StrandedData	Neurons_wk6_M15_1	0.04731056	0.793339651	0.05458433	0.063975764	0.054110558	0.202420217	Neurons	wk6
StrandedData	Neurons_wk6_M9_1	0.066397911	2.059275418	0.071602837	0.078900569	0.079816622	0.267698487	Neurons	wk6
StrandedData	Neurons_wk8_M10_1	0.053968051	1.118646861	0.058996383	0.066051826	0.062389559	0.218618297	Neurons	wk8
StrandedData	Neurons_wk8_M8_1	0.054126587	1.000522483	0.058934121	0.065683724	0.057034624	0.215753436	Neurons	wk8
StrandedData	Neurons_wk8_M8_2	0.039626635	0.612752802	0.045449538	0.051078452	0.044026017	0.173077884	Neurons	wk8
StrandedData	Neurons_wk10_A_2	0.064089775	1.862620056	0.068565486	0.075307489	0.074988153	0.256993493	Neurons	wk10
StrandedData	Neurons_wk10_A_3	0.043415705	1.140680392	0.049352799	0.055386947	0.050391724	0.18905112	Neurons	wk10
StrandedData	Neurons_wk10_A_4	0.046470669	1.463577076	0.05255335	0.056089261	0.054850065	0.197653718	Neurons	wk10
StrandedData	Neurons_wk10_B_1	0.054290994	0.975736389	0.0605617	0.067620263	0.062816702	0.223724132	Neurons	wk10
StrandedData	Neurons_wk10_B_3	0.042747822	1.056585505	0.048144599	0.054521714	0.049906601	0.186577677	Neurons	wk10
StrandedData	Retinal-Epi_wk4_M1_1	0.053115976	0.53054477	0.079170448	0.092515132	0.052183845	0.255475528	Retinal-Epi	wk4
StrandedData	Retinal-Epi_wk4_M1_2	0.040620638	0.506246939	0.036045314	0.046185001	0.033162782	0.131337632	Retinal-Epi	wk4
StrandedData	Retinal-Epi_wk4_M14_1	0.047771745	0.759217408	0.061501575	0.06100977	0.057785157	0.191285804	Retinal-Epi	wk4
StrandedData	Retinal-Epi_wk6_M15_1	0.042423157	0.7671683	0.054161312	0.063416306	0.051050944	0.196402161	Retinal-Epi	wk6
StrandedData	Retinal-Epi_wk6_M9_1	0.064568428	1.963200135	0.071227775	0.079718499	0.076801322	0.261271358	Retinal-Epi	wk6
StrandedData	Retinal-Epi_wk8_M10_1	0.052081032	0.921935181	0.056951947	0.066678476	0.059982369	0.216339	Retinal-Epi	wk8
StrandedData	Retinal-Epi_wk8_M8_1	0.054117663	0.91824551	0.061008447	0.069186987	0.05667079	0.224806588	Retinal-Epi	wk8
