	StrandDecidingMethod	A2CEditingIndex	A2GEditingIndex	A2TEditingIndex	C2AEditingIndex	C2GEditingIndex	C2TEditingIndex	CellType	Teratoma	Guide
Neural-Progenitors_ter1_AAVS1	StrandedData	0.036604757	0.585705177	0.040255991	0.048404516	0.041503786	0.161931318	Neural-Progenitors	ter1	AAVS1
Neural-Progenitors_ter1_ADAR1	StrandedData	0.040236635	0.538323784	0.050562439	0.04479183	0.046470743	0.177810581	Neural-Progenitors	ter1	ADAR1
Neural-Progenitors_ter1_ADARB1	StrandedData	0.033200681	0.5623228	0.040425119	0.039967933	0.036510433	0.138674636	Neural-Progenitors	ter1	ADARB1
Neural-Progenitors_ter1_ADARB2	StrandedData	0.028798661	0.566794141	0.037493771	0.039352843	0.035406995	0.128231175	Neural-Progenitors	ter1	ADARB2
Neural-Progenitors_ter1_NTC	StrandedData	0.035586142	0.586511932	0.040422724	0.045570168	0.041788125	0.150802666	Neural-Progenitors	ter1	NTC
Neural-Progenitors_ter2_AAVS1	StrandedData	0.036194471	0.554399454	0.036726547	0.040621784	0.031417072	0.134737343	Neural-Progenitors	ter2	AAVS1
Neural-Progenitors_ter2_ADAR1	StrandedData	0.032151141	0.445111916	0.03616858	0.035891374	0.036183861	0.134265331	Neural-Progenitors	ter2	ADAR1
Neural-Progenitors_ter2_ADARB1	StrandedData	0.034849795	0.537704188	0.039479168	0.04202887	0.041833105	0.150873116	Neural-Progenitors	ter2	ADARB1
Neural-Progenitors_ter2_ADARB2	StrandedData	0.034452175	0.75686144	0.033521348	0.033742761	0.039681031	0.135545744	Neural-Progenitors	ter2	ADARB2
Neural-Progenitors_ter2_NTC	StrandedData	0.032933186	0.503144438	0.039405049	0.03976331	0.035434187	0.140888032	Neural-Progenitors	ter2	NTC
Neural-Progenitors_ter3_AAVS1	StrandedData	0.036818628	0.548046114	0.039649707	0.041565483	0.039928088	0.151557297	Neural-Progenitors	ter3	AAVS1
Neural-Progenitors_ter3_ADAR1	StrandedData	0.031808039	0.410497769	0.03456103	0.042530063	0.036726282	0.139974786	Neural-Progenitors	ter3	ADAR1
Neural-Progenitors_ter3_ADARB1	StrandedData	0.036438419	0.635925182	0.040982194	0.043249606	0.040724026	0.150172442	Neural-Progenitors	ter3	ADARB1
Neural-Progenitors_ter3_ADARB2	StrandedData	0.033419175	0.484855506	0.038606972	0.04411606	0.035008324	0.14323502	Neural-Progenitors	ter3	ADARB2
Neural-Progenitors_ter3_NTC	StrandedData	0.036128322	0.607576596	0.039472726	0.043473475	0.041895568	0.152869758	Neural-Progenitors	ter3	NTC
Neural-Progenitors_ter4_AAVS1	StrandedData	0.032603908	0.692280967	0.039422603	0.040468972	0.038010143	0.139365728	Neural-Progenitors	ter4	AAVS1
Neural-Progenitors_ter4_ADAR1	StrandedData	0.038075946	0.56246165	0.041881946	0.039281684	0.032351865	0.151564694	Neural-Progenitors	ter4	ADAR1
Neural-Progenitors_ter4_ADARB1	StrandedData	0.035985894	0.598477416	0.037184977	0.050316163	0.03927549	0.127838819	Neural-Progenitors	ter4	ADARB1
Neural-Progenitors_ter4_ADARB2	StrandedData	0.041600876	1.821186491	0.04243254	0.043649664	0.048067759	0.165096943	Neural-Progenitors	ter4	ADARB2
Neural-Progenitors_ter4_NTC	StrandedData	0.032730697	0.731803852	0.036749714	0.040538289	0.037466922	0.136258067	Neural-Progenitors	ter4	NTC
Neurons_ter1_AAVS1	StrandedData	0.035102847	0.641709453	0.037465208	0.04375177	0.043398612	0.151055092	Neurons	ter1	AAVS1
Neurons_ter1_ADAR1	StrandedData	0.033241086	0.545864578	0.039646466	0.043415517	0.037914228	0.1419286	Neurons	ter1	ADAR1
Neurons_ter1_ADARB1	StrandedData	0.037406434	0.664980753	0.048391146	0.049355956	0.045553168	0.172738	Neurons	ter1	ADARB1
Neurons_ter1_ADARB2	StrandedData	0.034474282	0.587589957	0.043164044	0.047139147	0.036667622	0.16832582	Neurons	ter1	ADARB2
Neurons_ter1_NTC	StrandedData	0.037109799	0.647494709	0.041506271	0.04525456	0.042437656	0.159774832	Neurons	ter1	NTC
Neurons_ter2_AAVS1	StrandedData	0.059619627	0.557631844	0.037483494	0.047693375	0.039025236	0.163701561	Neurons	ter2	AAVS1
Neurons_ter2_ADAR1	StrandedData	0.033421865	0.428254306	0.042238922	0.041372478	0.035193507	0.137501184	Neurons	ter2	ADAR1
Neurons_ter2_ADARB1	StrandedData	0.034302061	0.575303632	0.042335834	0.047532243	0.042781052	0.156038659	Neurons	ter2	ADARB1
Neurons_ter2_ADARB2	StrandedData	0.034829438	0.641145032	0.038901471	0.03794996	0.03320779	0.13516827	Neurons	ter2	ADARB2
Neurons_ter2_NTC	StrandedData	0.035739126	0.568596666	0.040786877	0.046542539	0.041532347	0.153941931	Neurons	ter2	NTC
Neurons_ter3_AAVS1	StrandedData	0.035954262	0.663758115	0.040679889	0.047401752	0.046390984	0.171192451	Neurons	ter3	AAVS1
Neurons_ter3_ADAR1	StrandedData	0.036090308	0.369413082	0.039591356	0.043841171	0.03840198	0.164128906	Neurons	ter3	ADAR1
Neurons_ter3_ADARB1	StrandedData	0.034628313	0.62428191	0.040082035	0.041606239	0.039223188	0.156368708	Neurons	ter3	ADARB1
Neurons_ter3_ADARB2	StrandedData	0.038832616	0.673510791	0.041189511	0.04627365	0.046860356	0.163819331	Neurons	ter3	ADARB2
Neurons_ter3_NTC	StrandedData	0.038676022	0.65653425	0.043272159	0.048022601	0.043566024	0.16422812	Neurons	ter3	NTC
Neurons_ter4_AAVS1	StrandedData	0.037750855	0.717033435	0.036651719	0.041208536	0.036745143	0.148488861	Neurons	ter4	AAVS1
Neurons_ter4_ADAR1	StrandedData	0.027282747	0.513678175	0.039282441	0.037484565	0.035280369	0.145371247	Neurons	ter4	ADAR1
Neurons_ter4_ADARB1	StrandedData	0.041263583	0.912868459	0.032096841	0.059699512	0.051080654	0.172270996	Neurons	ter4	ADARB1
Neurons_ter4_ADARB2	StrandedData	0.040198434	1.097157785	0.040426742	0.044258239	0.042882925	0.162851155	Neurons	ter4	ADARB2
Neurons_ter4_NTC	StrandedData	0.033551289	0.732566107	0.03599398	0.041509357	0.038536279	0.142078912	Neurons	ter4	NTC
Retinal-Epi_ter1_AAVS1	StrandedData	0.031800657	0.672433571	0.038207643	0.041595736	0.037161622	0.147145257	Retinal-Epi	ter1	AAVS1
Retinal-Epi_ter1_ADAR1	StrandedData	0.046042202	0.664004409	0.043427304	0.045516132	0.040225687	0.16070881	Retinal-Epi	ter1	ADAR1
Retinal-Epi_ter1_ADARB1	StrandedData	0.038203636	0.969152974	0.045507017	0.043020549	0.052083882	0.172491139	Retinal-Epi	ter1	ADARB1
Retinal-Epi_ter1_ADARB2	StrandedData	0.026887444	0.643114496	0.03915342	0.042048301	0.036748507	0.146285071	Retinal-Epi	ter1	ADARB2
Retinal-Epi_ter1_NTC	StrandedData	0.034154495	0.629191828	0.038901096	0.041617873	0.038312435	0.147087713	Retinal-Epi	ter1	NTC
Retinal-Epi_ter2_AAVS1	StrandedData	0.031963583	0.563897953	0.035123706	0.042456785	0.036750408	0.1475515	Retinal-Epi	ter2	AAVS1
Retinal-Epi_ter2_ADAR1	StrandedData	0.04678545	0.606742009	0.027296834	0.029564806	0.043355734	0.147649421	Retinal-Epi	ter2	ADAR1
Retinal-Epi_ter2_ADARB1	StrandedData	0.03703054	0.571871668	0.037679954	0.038387462	0.033756056	0.160633544	Retinal-Epi	ter2	ADARB1
Retinal-Epi_ter2_ADARB2	StrandedData	0.019972213	0.557081412	0.038200745	0.029848126	0.035113592	0.112276762	Retinal-Epi	ter2	ADARB2
Retinal-Epi_ter2_NTC	StrandedData	0.031829271	0.579796194	0.039224524	0.043954472	0.037067337	0.142536895	Retinal-Epi	ter2	NTC
Retinal-Epi_ter3_AAVS1	StrandedData	0.031986319	0.610833158	0.03800126	0.039830862	0.035689931	0.147374787	Retinal-Epi	ter3	AAVS1
Retinal-Epi_ter3_ADARB1	StrandedData	0.036519675	0.652676568	0.033057747	0.042730954	0.040180878	0.159893999	Retinal-Epi	ter3	ADARB1
Retinal-Epi_ter3_ADARB2	StrandedData	0.038234912	0.730509311	0.045569581	0.042094847	0.041188562	0.154346943	Retinal-Epi	ter3	ADARB2
Retinal-Epi_ter3_NTC	StrandedData	0.03498911	0.714731483	0.042195544	0.045663932	0.038847078	0.147004999	Retinal-Epi	ter3	NTC
Retinal-Epi_ter4_AAVS1	StrandedData	0.040896274	0.796787217	0.04197204	0.052101424	0.048846676	0.165884228	Retinal-Epi	ter4	AAVS1
Retinal-Epi_ter4_ADAR1	StrandedData	0.033071127	0.582610943	0.070839925	0.073047798	0.07061459	0.238228359	Retinal-Epi	ter4	ADAR1
Retinal-Epi_ter4_ADARB1	StrandedData	0.031155056	0.542305604	0.038156233	0.041422672	0.038957997	0.142615755	Retinal-Epi	ter4	ADARB1
Retinal-Epi_ter4_ADARB2	StrandedData	0.030876687	0.584458873	0.035506545	0.037870649	0.038858195	0.146055394	Retinal-Epi	ter4	ADARB2
Retinal-Epi_ter4_NTC	StrandedData	0.032498537	0.683109539	0.036369844	0.039219979	0.038336764	0.136082577	Retinal-Epi	ter4	NTC
SCP_ter1_AAVS1	StrandedData	0.036509108	0.679180044	0.037285608	0.048450382	0.036540707	0.1547177	SCP	ter1	AAVS1
SCP_ter1_ADARB1	StrandedData	0.03110033	0.536347883	0.03110033	0.03579701	0.054737994	0.145134828	SCP	ter1	ADARB1
SCP_ter1_NTC	StrandedData	0.033962573	0.583922753	0.036958163	0.03685217	0.035419537	0.133357878	SCP	ter1	NTC
SCP_ter2_AAVS1	StrandedData	0.035228324	1.196901114	0.048432547	0.049708527	0.049708527	0.176016609	SCP	ter2	AAVS1
SCP_ter2_ADAR1	StrandedData	0.047463495	0.381222695	0.033508321	0.03285245	0.048556862	0.142679812	SCP	ter2	ADAR1
SCP_ter2_ADARB1	StrandedData	0.031038637	0.59900904	0.031884876	0.035576587	0.030082669	0.123108578	SCP	ter2	ADARB1
SCP_ter2_ADARB2	StrandedData	0.029706892	0.652758643	0.038780478	0.034518758	0.027785262	0.128692551	SCP	ter2	ADARB2
SCP_ter2_NTC	StrandedData	0.033109078	0.738217687	0.040433534	0.044425313	0.037667486	0.140590757	SCP	ter2	NTC
SCP_ter3_ADARB1	StrandedData	0.033391429	0.686123	0.03990423	0.032404945	0.047353992	0.152700897	SCP	ter3	ADARB1
SCP_ter3_ADARB2	StrandedData	0.024538126	0.608098218	0.039255221	0.036194018	0.03393266	0.113922506	SCP	ter3	ADARB2
SCP_ter3_NTC	StrandedData	0.039121764	0.756922669	0.03959867	0.04577475	0.038068253	0.133833363	SCP	ter3	NTC
SCP_ter4_AAVS1	StrandedData	0.031811844	0.85395929	0.038701742	0.039429865	0.040495106	0.148499042	SCP	ter4	AAVS1
SCP_ter4_NTC	StrandedData	0.032819072	0.764633984	0.039127963	0.040616983	0.038758271	0.135261752	SCP	ter4	NTC
Gut-Epi_ter1_AAVS1	StrandedData	0.02847305	0.486873668	0.032732221	0.037439379	0.031524202	0.11736641	Gut-Epi	ter1	AAVS1
Gut-Epi_ter1_ADAR1	StrandedData	0.027052261	0.440949798	0.030253857	0.035342387	0.031055151	0.115965739	Gut-Epi	ter1	ADAR1
Gut-Epi_ter1_ADARB1	StrandedData	0.029905525	0.529337091	0.034756481	0.038642773	0.03282888	0.120495137	Gut-Epi	ter1	ADARB1
Gut-Epi_ter1_ADARB2	StrandedData	0.030493993	0.543059385	0.034433399	0.035388193	0.03323457	0.119338806	Gut-Epi	ter1	ADARB2
Gut-Epi_ter1_NTC	StrandedData	0.029361317	0.535320456	0.033542663	0.035932058	0.032248154	0.119871289	Gut-Epi	ter1	NTC
Gut-Epi_ter2_AAVS1	StrandedData	0.02917829	0.558743582	0.035396841	0.03621992	0.033766421	0.123797783	Gut-Epi	ter2	AAVS1
Gut-Epi_ter2_ADAR1	StrandedData	0.029648176	0.295401215	0.033861261	0.036459839	0.029792343	0.118212456	Gut-Epi	ter2	ADAR1
Gut-Epi_ter2_ADARB1	StrandedData	0.0293149	0.553049805	0.033513287	0.037260535	0.031404013	0.123728869	Gut-Epi	ter2	ADARB1
Gut-Epi_ter2_ADARB2	StrandedData	0.0271095	0.513614386	0.033903241	0.038280821	0.031487549	0.119728133	Gut-Epi	ter2	ADARB2
Gut-Epi_ter2_NTC	StrandedData	0.030440637	0.566156291	0.034094007	0.037036809	0.031768424	0.122321967	Gut-Epi	ter2	NTC
Gut-Epi_ter3_AAVS1	StrandedData	0.030782069	0.572997958	0.034536674	0.040843707	0.033172587	0.116996094	Gut-Epi	ter3	AAVS1
Gut-Epi_ter3_ADAR1	StrandedData	0.030457274	0.313806617	0.0323702	0.038516022	0.029680232	0.120881169	Gut-Epi	ter3	ADAR1
Gut-Epi_ter3_ADARB1	StrandedData	0.031981123	0.530704128	0.036654144	0.039259352	0.034400342	0.128655513	Gut-Epi	ter3	ADARB1
Gut-Epi_ter3_ADARB2	StrandedData	0.02906531	0.56819517	0.03365537	0.035819516	0.03258468	0.116712157	Gut-Epi	ter3	ADARB2
Gut-Epi_ter3_NTC	StrandedData	0.030185047	0.628336116	0.034572308	0.039146703	0.033320382	0.126287948	Gut-Epi	ter3	NTC
Gut-Epi_ter4_AAVS1	StrandedData	0.026251924	0.625358943	0.032669512	0.032307484	0.027792639	0.108997501	Gut-Epi	ter4	AAVS1
Gut-Epi_ter4_ADAR1	StrandedData	0.021845052	0.222750927	0.037985262	0.036422889	0.03259015	0.128320533	Gut-Epi	ter4	ADAR1
Gut-Epi_ter4_ADARB1	StrandedData	0.041004613	1.305668016	0.044420146	0.061345512	0.047719681	0.163420945	Gut-Epi	ter4	ADARB1
Gut-Epi_ter4_ADARB2	StrandedData	0.027583739	0.687510029	0.03304898	0.033550848	0.031289701	0.11914791	Gut-Epi	ter4	ADARB2
Gut-Epi_ter4_NTC	StrandedData	0.029372805	0.657508432	0.033454319	0.036745996	0.032806982	0.119167631	Gut-Epi	ter4	NTC
Hematopoietic_ter1_AAVS1	StrandedData	0.016730801	0.478195703	0.023899431	0.016814797	0.019216449	0.124775045	Hematopoietic	ter1	AAVS1
Hematopoietic_ter1_ADARB1	StrandedData	0.028734279	0.614401918	0.035091273	0.039969916	0.032876997	0.110607704	Hematopoietic	ter1	ADARB1
Hematopoietic_ter1_ADARB2	StrandedData	0.02132314	0.433356666	0.045004856	0.045406264	0.042974831	0.143375563	Hematopoietic	ter1	ADARB2
Hematopoietic_ter1_NTC	StrandedData	0.034155824	0.805977107	0.03974043	0.04055001	0.038016598	0.130908778	Hematopoietic	ter1	NTC
Hematopoietic_ter2_AAVS1	StrandedData	0.02525287	0.524943295	0.028664442	0.045970702	0.034996466	0.115189995	Hematopoietic	ter2	AAVS1
Hematopoietic_ter2_ADARB1	StrandedData	0.044815072	0.530793917	0.043058375	0.037513398	0.031263119	0.133847307	Hematopoietic	ter2	ADARB1
Hematopoietic_ter2_NTC	StrandedData	0.030342084	0.547448594	0.030954866	0.037613712	0.028793283	0.11291081	Hematopoietic	ter2	NTC
